state,sector,date,value
Malaysia,domestic,01/01/2020,7179
Malaysia,domestic,01/01/2021,7540
Malaysia,domestic,01/01/2022,7353
Malaysia,nondomestic,01/01/2020,4298
Malaysia,nondomestic,01/01/2021,4173
Malaysia,nondomestic,01/01/2022,4433
