state,sector,date,value
Johor,nondomestic,01/01/2021,505
Kedah,nondomestic,01/01/2021,179
Kelantan,nondomestic,01/01/2021,68
Melaka,nondomestic,01/01/2021,184
Negeri Sembilan,nondomestic,01/01/2021,222
Pahang,nondomestic,01/01/2021,251
Perak,nondomestic,01/01/2021,266
Perlis,nondomestic,01/01/2021,11
Pulau Pinang,nondomestic,01/01/2021,313
Sabah,nondomestic,01/01/2021,225
Sarawak,nondomestic,01/01/2021,440
Selangor,nondomestic,01/01/2021,1315
Terengganu,nondomestic,01/01/2021,161
Labuan,nondomestic,01/01/2021,32
Kuala Lumpur,nondomestic,01/01/2021,
Putrajaya,nondomestic,01/01/2021,
